04:bd:88:41:5a:c0,04:bd:88:41:5a:c1,04:bd:88:41:5a:c2,04:bd:88:41:5a:d0,04:bd:88:41:5a:d1,04:bd:88:41:5a:d2,04:bd:88:41:5b:40,04:bd:88:41:5b:41,04:bd:88:41:5b:42,04:bd:88:41:5b:50,04:bd:88:41:5b:51,04:bd:88:41:5b:52,04:bd:88:41:67:60,04:bd:88:41:67:61,04:bd:88:41:67:62,04:bd:88:41:67:70,04:bd:88:41:67:71,04:bd:88:41:67:72,04:bd:88:41:6b:e0,04:bd:88:41:6b:e1,04:bd:88:41:6b:e2,04:bd:88:41:6b:f0,04:bd:88:41:6b:f1,04:bd:88:41:6b:f2,04:bd:88:41:a3:00,04:bd:88:41:a3:01,04:bd:88:41:a3:02,04:bd:88:41:a3:10,04:bd:88:41:a3:11,04:bd:88:41:a3:12,04:bd:88:41:a4:20,04:bd:88:41:a4:21,04:bd:88:41:a4:22,04:bd:88:41:a4:30,04:bd:88:41:a4:31,04:bd:88:41:a4:32,04:bd:88:41:a4:40,04:bd:88:41:a4:41,04:bd:88:41:a4:42,04:bd:88:41:a4:50,04:bd:88:41:a4:51,04:bd:88:41:a4:52,04:bd:88:5b:e6:a0,04:bd:88:5b:e6:a1,04:bd:88:5b:e6:a2,04:bd:88:5b:e6:b0,04:bd:88:5b:e6:b1,04:bd:88:5b:e6:b2,04:bd:88:5b:e7:00,04:bd:88:5b:e7:01,04:bd:88:5b:e7:02,04:bd:88:5b:e7:10,04:bd:88:5b:e7:11,04:bd:88:5b:e7:12,a8:bd:27:4c:ba:20,a8:bd:27:4c:ba:21,a8:bd:27:4c:ba:22,a8:bd:27:4c:ba:30,a8:bd:27:4c:ba:31,a8:bd:27:4c:ba:32,a8:bd:27:4c:c9:00,a8:bd:27:4c:c9:02,a8:bd:27:4c:c9:03,a8:bd:27:4c:c9:10,a8:bd:27:4c:c9:12,a8:bd:27:4c:c9:13,a8:bd:27:4c:d2:c0,a8:bd:27:4c:d2:c1,a8:bd:27:4c:d2:c2,a8:bd:27:4c:d2:d0,a8:bd:27:4c:d2:d1,a8:bd:27:4c:d2:d2,a8:bd:27:4d:19:20,a8:bd:27:4d:19:21,a8:bd:27:4d:19:22,a8:bd:27:4d:19:30,a8:bd:27:4d:19:31,a8:bd:27:4d:19:32,x,y,label
-77,-78,-77,-73,-73,-72,-77,-77,-79,-74,-74,-76,-59,-60,-59,-63,-63,-64,-79,-77,-77,-84,-83,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-85,-100,-100,-100,-74,-74,-75,-83,-84,-84,-100,-100,-100,-100,-100,-100,542,244,3
-78,-78,-78,-73,-74,-73,-77,-77,-77,-74,-75,-76,-59,-59,-59,-62,-62,-63,-79,-79,-81,-80,-80,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-85,-100,-100,-100,-100,-74,-75,-86,-85,-84,-100,-100,-100,-100,-100,-100,542,244,3
-80,-80,-81,-74,-75,-74,-100,-100,-100,-75,-75,-75,-61,-61,-61,-62,-63,-62,-100,-100,-100,-84,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-88,-87,-100,-100,-100,-77,-76,-76,-85,-85,-85,-100,-100,-100,-100,-100,-100,542,244,3
-79,-77,-78,-76,-77,-77,-79,-77,-77,-78,-79,-79,-60,-60,-59,-61,-60,-60,-79,-80,-79,-82,-82,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-75,-75,-75,-85,-84,-85,-100,-100,-100,-100,-100,-100,542,244,3
-79,-77,-77,-100,-100,-100,-79,-77,-77,-73,-74,-75,-61,-60,-61,-63,-63,-63,-79,-79,-79,-81,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-86,-86,-100,-100,-100,-75,-75,-75,-85,-84,-85,-100,-100,-100,-100,-100,-100,542,244,3
-78,-78,-78,-75,-75,-75,-76,-77,-77,-74,-73,-74,-61,-60,-60,-62,-62,-62,-80,-79,-79,-82,-82,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-86,-85,-100,-100,-100,-74,-74,-75,-86,-86,-86,-100,-100,-100,-100,-100,-100,542,244,3
-77,-77,-78,-74,-75,-74,-80,-79,-79,-75,-75,-76,-59,-60,-61,-63,-63,-63,-78,-77,-77,-83,-83,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-86,-85,-100,-100,-100,-74,-74,-75,-83,-84,-84,-100,-100,-100,-100,-100,-100,542,244,3
-82,-81,-81,-80,-80,-80,-80,-79,-77,-78,-78,-77,-67,-67,-66,-61,-62,-62,-77,-76,-76,-80,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-76,-77,-84,-84,-84,-100,-88,-100,-100,-100,-100,542,262,4
-79,-79,-78,-79,-80,-79,-78,-77,-77,-76,-74,-75,-66,-66,-66,-57,-58,-58,-100,-76,-77,-84,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-85,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-74,-75,-85,-84,-83,-100,-100,-100,-100,-100,-100,542,262,4
-80,-81,-80,-79,-80,-80,-78,-78,-77,-72,-73,-73,-64,-65,-63,-60,-60,-60,-76,-78,-77,-81,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-88,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-73,-74,-84,-84,-84,-100,-100,-100,-100,-100,-100,542,262,4
