04:bd:88:41:5a:c0,04:bd:88:41:5a:c1,04:bd:88:41:5a:c2,04:bd:88:41:5a:d0,04:bd:88:41:5a:d1,04:bd:88:41:5a:d2,04:bd:88:41:5b:40,04:bd:88:41:5b:41,04:bd:88:41:5b:42,04:bd:88:41:5b:50,04:bd:88:41:5b:51,04:bd:88:41:5b:52,04:bd:88:41:67:60,04:bd:88:41:67:61,04:bd:88:41:67:62,04:bd:88:41:67:70,04:bd:88:41:67:71,04:bd:88:41:67:72,04:bd:88:41:6b:e0,04:bd:88:41:6b:e1,04:bd:88:41:6b:e2,04:bd:88:41:6b:f0,04:bd:88:41:6b:f1,04:bd:88:41:6b:f2,04:bd:88:41:a3:00,04:bd:88:41:a3:01,04:bd:88:41:a3:02,04:bd:88:41:a3:10,04:bd:88:41:a3:11,04:bd:88:41:a3:12,04:bd:88:41:a4:20,04:bd:88:41:a4:21,04:bd:88:41:a4:22,04:bd:88:41:a4:30,04:bd:88:41:a4:31,04:bd:88:41:a4:32,04:bd:88:41:a4:40,04:bd:88:41:a4:41,04:bd:88:41:a4:42,04:bd:88:41:a4:50,04:bd:88:41:a4:51,04:bd:88:41:a4:52,04:bd:88:5b:e6:a0,04:bd:88:5b:e6:a1,04:bd:88:5b:e6:a2,04:bd:88:5b:e6:b0,04:bd:88:5b:e6:b1,04:bd:88:5b:e6:b2,04:bd:88:5b:e7:00,04:bd:88:5b:e7:01,04:bd:88:5b:e7:02,04:bd:88:5b:e7:10,04:bd:88:5b:e7:11,04:bd:88:5b:e7:12,a8:bd:27:4c:ba:20,a8:bd:27:4c:ba:21,a8:bd:27:4c:ba:22,a8:bd:27:4c:ba:30,a8:bd:27:4c:ba:31,a8:bd:27:4c:ba:32,a8:bd:27:4c:c9:00,a8:bd:27:4c:c9:02,a8:bd:27:4c:c9:03,a8:bd:27:4c:c9:10,a8:bd:27:4c:c9:12,a8:bd:27:4c:c9:13,a8:bd:27:4c:d2:c0,a8:bd:27:4c:d2:c1,a8:bd:27:4c:d2:c2,a8:bd:27:4c:d2:d0,a8:bd:27:4c:d2:d1,a8:bd:27:4c:d2:d2,a8:bd:27:4d:19:20,a8:bd:27:4d:19:21,a8:bd:27:4d:19:22,a8:bd:27:4d:19:30,a8:bd:27:4d:19:31,a8:bd:27:4d:19:32,x,y,label
-71,-71,-71,-74,-74,-75,-66,-66,-66,-64,-63,-64,-55,-55,-55,-50,-50,-50,-70,-70,-70,-72,-73,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-79,-86,-87,-86,-83,-82,-82,-78,-78,-79,-69,-69,-69,-74,-74,-74,-100,-83,-83,-83,-83,-83,542,225,2
-71,-71,-71,-72,-71,-71,-66,-66,-65,-66,-64,-66,-55,-55,-55,-50,-50,-50,-70,-70,-70,-74,-75,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-79,-86,-87,-86,-83,-83,-83,-79,-79,-77,-69,-69,-69,-74,-75,-75,-100,-84,-83,-84,-83,-84,542,225,2
-71,-70,-70,-74,-74,-74,-59,-59,-59,-64,-61,-64,-54,-54,-54,-52,-52,-52,-70,-70,-70,-72,-72,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-80,-80,-82,-81,-82,-100,-100,-100,-100,-100,-100,-82,-82,-83,-85,-85,-85,-80,-80,-81,-85,-87,-86,-84,-83,-83,-78,-78,-79,-69,-69,-69,-73,-73,-73,-100,-83,-83,-84,-83,-84,542,225,2
-69,-69,-69,-71,-71,-71,-65,-65,-64,-66,-64,-66,-55,-55,-55,-50,-50,-50,-69,-70,-69,-73,-73,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-84,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-80,-80,-100,-100,-100,-84,-83,-83,-79,-79,-80,-68,-68,-68,-74,-74,-74,-100,-83,-100,-84,-84,-83,542,225,2
-75,-75,-75,-69,-69,-69,-69,-69,-68,-73,-72,-73,-53,-53,-53,-53,-52,-52,-69,-69,-68,-71,-71,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-79,-79,-82,-81,-81,-79,-80,-80,-100,-100,-100,-78,-78,-79,-100,-80,-100,-72,-72,-72,-77,-77,-77,-82,-82,-82,-88,-88,-87,542,244,3
-74,-74,-74,-70,-71,-70,-68,-68,-68,-70,-70,-70,-52,-52,-52,-56,-56,-56,-69,-68,-69,-72,-72,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-79,-100,-100,-100,-100,-80,-80,-86,-86,-100,-100,-79,-77,-80,-80,-81,-71,-72,-70,-77,-77,-77,-83,-83,-100,-87,-86,-88,542,244,3
-73,-73,-73,-70,-70,-70,-68,-68,-68,-70,-71,-70,-53,-52,-52,-56,-56,-56,-69,-69,-69,-74,-74,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-80,-80,-82,-81,-82,-81,-80,-80,-100,-100,-100,-80,-79,-79,-80,-79,-81,-70,-70,-70,-78,-78,-78,-81,-81,-82,-86,-87,-86,542,244,3
-75,-75,-75,-71,-71,-70,-100,-68,-68,-70,-71,-70,-53,-53,-53,-56,-55,-56,-68,-68,-69,-73,-73,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-80,-79,-81,-81,-82,-80,-79,-80,-100,-86,-100,-80,-80,-79,-80,-80,-80,-71,-70,-70,-76,-77,-76,-82,-82,-81,-86,-86,-86,542,244,3
-75,-74,-74,-69,-69,-69,-69,-70,-70,-72,-72,-72,-53,-53,-53,-56,-56,-56,-68,-69,-68,-73,-73,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-79,-79,-82,-81,-81,-79,-80,-80,-86,-86,-100,-78,-78,-79,-100,-80,-100,-72,-72,-72,-77,-77,-77,-83,-83,-82,-87,-87,-87,542,244,3
-73,-74,-73,-70,-70,-70,-68,-67,-68,-71,-69,-71,-53,-53,-53,-56,-56,-56,-69,-69,-68,-73,-73,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-80,-79,-81,-81,-82,-80,-80,-80,-100,-100,-100,-80,-79,-80,-80,-80,-81,-70,-70,-70,-77,-77,-77,-82,-82,-81,-87,-87,-86,542,244,3
