04:bd:88:41:5a:c0,04:bd:88:41:5a:c1,04:bd:88:41:5a:c2,04:bd:88:41:5a:d0,04:bd:88:41:5a:d1,04:bd:88:41:5a:d2,04:bd:88:41:5b:40,04:bd:88:41:5b:41,04:bd:88:41:5b:42,04:bd:88:41:5b:50,04:bd:88:41:5b:51,04:bd:88:41:5b:52,04:bd:88:41:67:60,04:bd:88:41:67:61,04:bd:88:41:67:62,04:bd:88:41:67:70,04:bd:88:41:67:71,04:bd:88:41:67:72,04:bd:88:41:6b:e0,04:bd:88:41:6b:e1,04:bd:88:41:6b:e2,04:bd:88:41:6b:f0,04:bd:88:41:6b:f1,04:bd:88:41:6b:f2,04:bd:88:41:a3:00,04:bd:88:41:a3:01,04:bd:88:41:a3:02,04:bd:88:41:a3:10,04:bd:88:41:a3:11,04:bd:88:41:a3:12,04:bd:88:41:a4:20,04:bd:88:41:a4:21,04:bd:88:41:a4:22,04:bd:88:41:a4:30,04:bd:88:41:a4:31,04:bd:88:41:a4:32,04:bd:88:41:a4:40,04:bd:88:41:a4:41,04:bd:88:41:a4:42,04:bd:88:41:a4:50,04:bd:88:41:a4:51,04:bd:88:41:a4:52,04:bd:88:5b:e6:a0,04:bd:88:5b:e6:a1,04:bd:88:5b:e6:a2,04:bd:88:5b:e6:b0,04:bd:88:5b:e6:b1,04:bd:88:5b:e6:b2,04:bd:88:5b:e7:00,04:bd:88:5b:e7:01,04:bd:88:5b:e7:02,04:bd:88:5b:e7:10,04:bd:88:5b:e7:11,04:bd:88:5b:e7:12,a8:bd:27:4c:ba:20,a8:bd:27:4c:ba:21,a8:bd:27:4c:ba:22,a8:bd:27:4c:ba:30,a8:bd:27:4c:ba:31,a8:bd:27:4c:ba:32,a8:bd:27:4c:c9:00,a8:bd:27:4c:c9:02,a8:bd:27:4c:c9:03,a8:bd:27:4c:c9:10,a8:bd:27:4c:c9:12,a8:bd:27:4c:c9:13,a8:bd:27:4c:d2:c0,a8:bd:27:4c:d2:c1,a8:bd:27:4c:d2:c2,a8:bd:27:4c:d2:d0,a8:bd:27:4c:d2:d1,a8:bd:27:4c:d2:d2,a8:bd:27:4d:19:20,a8:bd:27:4d:19:21,a8:bd:27:4d:19:22,a8:bd:27:4d:19:30,a8:bd:27:4d:19:31,a8:bd:27:4d:19:32,x,y,label
-73,-73,-72,-75,-75,-75,-73,-73,-69,-66,-65,-66,-64,-64,-63,-56,-56,-56,-74,-74,-74,-82,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-88,-88,-88,-100,-100,-100,-100,-100,-100,-85,-86,-87,-100,-100,-100,-87,-86,-87,-89,-100,-100,-84,-84,-84,-88,-88,-88,-74,-74,-74,-80,-79,-80,-100,-87,-87,-100,-100,-100,542,225,2
-73,-73,-73,-77,-77,-77,-74,-72,-74,-69,-69,-69,-63,-63,-63,-56,-55,-56,-73,-73,-74,-82,-81,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-85,-89,-90,-88,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-87,-86,-86,-100,-100,-100,-84,-85,-85,-88,-87,-89,-74,-74,-75,-79,-80,-80,-87,-87,-87,-100,-100,-100,542,225,2
-74,-73,-73,-73,-73,-74,-72,-72,-72,-67,-67,-67,-62,-62,-62,-55,-55,-55,-100,-74,-74,-83,-81,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-87,-86,-86,-100,-100,-100,-86,-84,-87,-84,-83,-84,-75,-75,-76,-79,-80,-79,-100,-87,-100,-100,-100,-100,542,225,2
-72,-72,-72,-74,-74,-75,-73,-74,-74,-66,-66,-66,-64,-64,-63,-54,-54,-53,-74,-74,-74,-81,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-88,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-89,-88,-88,-100,-100,-100,-84,-84,-84,-88,-88,-88,-75,-74,-75,-81,-80,-81,-100,-87,-87,-100,-100,-100,542,225,2
-75,-75,-75,-73,-73,-73,-75,-75,-76,-71,-71,-70,-60,-60,-60,-56,-56,-56,-78,-78,-78,-77,-77,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-87,-87,-87,-87,-87,-90,-85,-83,-83,-87,-86,-87,-74,-74,-74,-81,-81,-80,-100,-100,-100,-89,-88,-89,542,244,3
-75,-75,-75,-73,-73,-73,-75,-75,-75,-72,-72,-72,-61,-61,-61,-59,-59,-59,-78,-78,-78,-79,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-87,-86,-87,-88,-88,-83,-87,-82,-89,-90,-90,-72,-73,-74,-78,-78,-77,-87,-87,-86,-93,-90,-90,542,244,3
-75,-74,-75,-73,-73,-73,-76,-76,-76,-71,-72,-71,-59,-59,-59,-100,-58,-100,-76,-76,-77,-76,-76,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-87,-86,-91,-90,-88,-100,-86,-87,-86,-88,-85,-74,-73,-74,-78,-78,-77,-100,-100,-86,-100,-100,-100,542,244,3
-74,-75,-74,-69,-70,-69,-75,-74,-74,-71,-71,-71,-63,-62,-62,-58,-57,-58,-77,-76,-77,-78,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-91,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-87,-86,-87,-88,-88,-83,-82,-82,-88,-90,-89,-72,-72,-72,-78,-78,-78,-100,-100,-100,-90,-92,-90,542,244,3
-77,-74,-75,-73,-73,-73,-79,-78,-78,-71,-71,-71,-60,-61,-61,-58,-57,-58,-77,-77,-77,-80,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-88,-86,-87,-87,-88,-88,-84,-84,-85,-89,-90,-90,-74,-74,-73,-79,-79,-78,-84,-85,-100,-100,-91,-90,542,244,3
-75,-75,-75,-70,-70,-70,-76,-76,-76,-73,-74,-74,-62,-62,-62,-59,-58,-59,-79,-78,-78,-82,-81,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-89,-89,-100,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-88,-88,-87,-87,-88,-85,-86,-85,-91,-91,-90,-73,-73,-73,-78,-78,-77,-87,-87,-86,-89,-88,-89,542,244,3
