04:bd:88:41:5a:c0,04:bd:88:41:5a:c1,04:bd:88:41:5a:c2,04:bd:88:41:5a:d0,04:bd:88:41:5a:d1,04:bd:88:41:5a:d2,04:bd:88:41:5b:40,04:bd:88:41:5b:41,04:bd:88:41:5b:42,04:bd:88:41:5b:50,04:bd:88:41:5b:51,04:bd:88:41:5b:52,04:bd:88:41:67:60,04:bd:88:41:67:61,04:bd:88:41:67:62,04:bd:88:41:67:70,04:bd:88:41:67:71,04:bd:88:41:67:72,04:bd:88:41:6b:e0,04:bd:88:41:6b:e1,04:bd:88:41:6b:e2,04:bd:88:41:6b:f0,04:bd:88:41:6b:f1,04:bd:88:41:6b:f2,04:bd:88:41:a3:00,04:bd:88:41:a3:01,04:bd:88:41:a3:02,04:bd:88:41:a3:10,04:bd:88:41:a3:11,04:bd:88:41:a3:12,04:bd:88:41:a4:20,04:bd:88:41:a4:21,04:bd:88:41:a4:22,04:bd:88:41:a4:30,04:bd:88:41:a4:31,04:bd:88:41:a4:32,04:bd:88:41:a4:40,04:bd:88:41:a4:41,04:bd:88:41:a4:42,04:bd:88:41:a4:50,04:bd:88:41:a4:51,04:bd:88:41:a4:52,04:bd:88:5b:e6:a0,04:bd:88:5b:e6:a1,04:bd:88:5b:e6:a2,04:bd:88:5b:e6:b0,04:bd:88:5b:e6:b1,04:bd:88:5b:e6:b2,04:bd:88:5b:e7:00,04:bd:88:5b:e7:01,04:bd:88:5b:e7:02,04:bd:88:5b:e7:10,04:bd:88:5b:e7:11,04:bd:88:5b:e7:12,a8:bd:27:4c:ba:20,a8:bd:27:4c:ba:21,a8:bd:27:4c:ba:22,a8:bd:27:4c:ba:30,a8:bd:27:4c:ba:31,a8:bd:27:4c:ba:32,a8:bd:27:4c:c9:00,a8:bd:27:4c:c9:02,a8:bd:27:4c:c9:03,a8:bd:27:4c:c9:10,a8:bd:27:4c:c9:12,a8:bd:27:4c:c9:13,a8:bd:27:4c:d2:c0,a8:bd:27:4c:d2:c1,a8:bd:27:4c:d2:c2,a8:bd:27:4c:d2:d0,a8:bd:27:4c:d2:d1,a8:bd:27:4c:d2:d2,a8:bd:27:4d:19:20,a8:bd:27:4d:19:21,a8:bd:27:4d:19:22,a8:bd:27:4d:19:30,a8:bd:27:4d:19:31,a8:bd:27:4d:19:32,x,y,label
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-84,-83,-88,-88,-89,-79,-79,-80,-72,-70,-73,-83,-82,-83,-80,-81,-80,-100,-100,-100,-100,-100,-100,-88,-89,-88,-83,-83,-83,-80,-81,-79,-88,-87,-86,-84,-100,-85,-81,-80,-81,-54,-54,-54,-54,-53,-52,-77,-76,-76,-72,-74,-73,-100,-100,-100,-100,-100,-100,-51,-51,-52,-47,-47,-48,240,639,34
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-83,-83,-87,-88,-89,-79,-79,-80,-73,-75,-72,-81,-82,-81,-81,-82,-81,-100,-100,-100,-100,-100,-100,-89,-89,-88,-84,-83,-83,-80,-81,-81,-86,-87,-85,-84,-100,-85,-82,-81,-81,-54,-53,-54,-52,-52,-52,-78,-79,-77,-72,-73,-71,-100,-100,-100,-100,-100,-100,-51,-51,-50,-47,-47,-48,240,639,34
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-84,-82,-87,-89,-87,-85,-77,-78,-73,-73,-73,-83,-82,-82,-80,-81,-82,-100,-100,-100,-100,-100,-100,-90,-89,-89,-86,-85,-85,-78,-80,-80,-84,-85,-84,-84,-100,-85,-81,-80,-81,-54,-53,-53,-50,-52,-51,-79,-79,-77,-72,-73,-73,-100,-100,-100,-100,-100,-100,-53,-53,-53,-47,-47,-47,240,639,34
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-84,-84,-88,-87,-87,-79,-79,-80,-73,-73,-72,-81,-81,-81,-81,-81,-81,-100,-100,-100,-100,-100,-100,-90,-89,-88,-82,-82,-82,-78,-81,-80,-86,-86,-85,-84,-100,-85,-80,-80,-81,-53,-53,-53,-52,-55,-53,-78,-77,-77,-72,-72,-72,-100,-100,-100,-100,-100,-100,-51,-51,-50,-46,-46,-45,240,639,34
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-83,-83,-85,-85,-86,-85,-75,-75,-75,-75,-75,-82,-82,-82,-76,-77,-79,-100,-100,-100,-100,-100,-100,-90,-89,-90,-86,-85,-85,-80,-81,-81,-86,-87,-86,-84,-80,-85,-84,-85,-87,-53,-52,-52,-65,-58,-62,-77,-77,-77,-72,-74,-73,-100,-100,-100,-100,-100,-100,-53,-53,-54,-47,-48,-47,240,639,34
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-84,-82,-88,-88,-87,-79,-77,-78,-74,-73,-72,-82,-83,-82,-80,-80,-80,-100,-100,-100,-100,-100,-100,-90,-89,-89,-83,-84,-84,-78,-81,-78,-86,-86,-86,-84,-100,-85,-79,-79,-78,-54,-54,-54,-51,-51,-51,-77,-77,-77,-72,-74,-73,-100,-100,-100,-100,-100,-100,-52,-52,-51,-46,-46,-47,240,639,34
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-83,-83,-88,-88,-87,-85,-79,-78,-76,-77,-76,-83,-84,-83,-76,-77,-79,-100,-100,-100,-100,-100,-100,-90,-89,-89,-85,-86,-86,-79,-80,-80,-86,-85,-86,-84,-80,-85,-85,-84,-83,-54,-54,-54,-51,-53,-50,-78,-76,-78,-72,-73,-72,-100,-100,-100,-100,-100,-100,-54,-53,-53,-49,-48,-47,240,639,34
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-86,-85,-86,-86,-86,-78,-75,-74,-72,-72,-72,-87,-84,-84,-74,-75,-75,-100,-100,-100,-100,-100,-100,-90,-89,-88,-84,-85,-84,-82,-81,-82,-87,-86,-88,-84,-100,-85,-84,-84,-84,-54,-54,-54,-53,-51,-52,-74,-74,-73,-74,-74,-73,-100,-100,-100,-100,-100,-100,-52,-51,-51,-43,-42,-44,222,639,35
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-85,-85,-85,-84,-85,-80,-73,-77,-73,-72,-72,-86,-84,-83,-75,-77,-75,-100,-100,-100,-100,-100,-100,-90,-89,-88,-85,-84,-84,-82,-82,-82,-89,-90,-90,-84,-100,-85,-84,-84,-85,-55,-55,-55,-50,-49,-50,-74,-73,-74,-73,-74,-72,-100,-100,-100,-100,-100,-100,-53,-52,-53,-43,-43,-43,222,639,35
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-86,-88,-85,-85,-85,-76,-77,-77,-74,-73,-73,-85,-84,-83,-75,-75,-74,-100,-100,-100,-100,-100,-100,-90,-89,-88,-83,-83,-85,-81,-80,-80,-86,-87,-87,-84,-100,-86,-83,-83,-83,-57,-57,-57,-51,-52,-52,-76,-74,-74,-73,-75,-74,-100,-100,-100,-100,-100,-100,-51,-51,-51,-44,-44,-44,222,639,35
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-86,-86,-85,-85,-84,-79,-73,-80,-75,-75,-75,-83,-84,-84,-75,-76,-75,-100,-100,-100,-100,-100,-100,-90,-89,-88,-86,-85,-85,-82,-81,-82,-87,-87,-87,-84,-100,-85,-86,-85,-87,-55,-53,-54,-49,-50,-48,-73,-74,-74,-73,-74,-72,-100,-100,-100,-100,-100,-100,-52,-53,-52,-43,-43,-43,222,639,35
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-84,-84,-84,-84,-85,-84,-82,-77,-73,-73,-72,-84,-84,-83,-74,-76,-76,-100,-100,-100,-100,-100,-100,-90,-89,-88,-84,-83,-84,-81,-82,-82,-89,-88,-87,-84,-100,-85,-84,-84,-84,-54,-53,-54,-50,-50,-49,-71,-72,-72,-73,-74,-73,-100,-100,-100,-100,-100,-100,-51,-51,-50,-44,-43,-43,222,639,35
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-84,-83,-86,-86,-85,-79,-79,-77,-78,-79,-79,-86,-86,-86,-73,-75,-76,-100,-100,-100,-100,-100,-100,-90,-89,-88,-85,-84,-85,-84,-83,-81,-84,-85,-85,-84,-100,-85,-87,-87,-89,-54,-55,-55,-52,-49,-52,-72,-74,-70,-73,-73,-73,-100,-100,-100,-100,-100,-100,-52,-51,-50,-42,-42,-42,222,639,35
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-85,-83,-86,-85,-85,-79,-82,-77,-74,-73,-74,-85,-85,-84,-75,-75,-75,-100,-100,-100,-100,-100,-100,-90,-89,-88,-86,-86,-85,-82,-81,-82,-88,-88,-87,-84,-100,-85,-92,-92,-89,-53,-53,-52,-48,-52,-48,-71,-72,-72,-74,-75,-74,-100,-100,-100,-100,-100,-100,-52,-53,-53,-43,-43,-44,222,639,35
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-85,-84,-89,-90,-89,-76,-73,-76,-71,-71,-72,-87,-86,-87,-76,-75,-75,-100,-100,-100,-100,-100,-100,-90,-89,-88,-86,-86,-85,-82,-82,-83,-87,-85,-86,-84,-100,-85,-84,-84,-85,-54,-56,-56,-55,-50,-55,-74,-74,-73,-74,-73,-74,-100,-100,-100,-100,-100,-100,-52,-51,-51,-46,-45,-46,222,639,35
