04:bd:88:41:5a:c0,04:bd:88:41:5a:c1,04:bd:88:41:5a:c2,04:bd:88:41:5a:d0,04:bd:88:41:5a:d1,04:bd:88:41:5a:d2,04:bd:88:41:5b:40,04:bd:88:41:5b:41,04:bd:88:41:5b:42,04:bd:88:41:5b:50,04:bd:88:41:5b:51,04:bd:88:41:5b:52,04:bd:88:41:67:60,04:bd:88:41:67:61,04:bd:88:41:67:62,04:bd:88:41:67:70,04:bd:88:41:67:71,04:bd:88:41:67:72,04:bd:88:41:6b:e0,04:bd:88:41:6b:e1,04:bd:88:41:6b:e2,04:bd:88:41:6b:f0,04:bd:88:41:6b:f1,04:bd:88:41:6b:f2,04:bd:88:41:a3:00,04:bd:88:41:a3:01,04:bd:88:41:a3:02,04:bd:88:41:a3:10,04:bd:88:41:a3:11,04:bd:88:41:a3:12,04:bd:88:41:a4:20,04:bd:88:41:a4:21,04:bd:88:41:a4:22,04:bd:88:41:a4:30,04:bd:88:41:a4:31,04:bd:88:41:a4:32,04:bd:88:41:a4:40,04:bd:88:41:a4:41,04:bd:88:41:a4:42,04:bd:88:41:a4:50,04:bd:88:41:a4:51,04:bd:88:41:a4:52,04:bd:88:5b:e6:a0,04:bd:88:5b:e6:a1,04:bd:88:5b:e6:a2,04:bd:88:5b:e6:b0,04:bd:88:5b:e6:b1,04:bd:88:5b:e6:b2,04:bd:88:5b:e7:00,04:bd:88:5b:e7:01,04:bd:88:5b:e7:02,04:bd:88:5b:e7:10,04:bd:88:5b:e7:11,04:bd:88:5b:e7:12,a8:bd:27:4c:ba:20,a8:bd:27:4c:ba:21,a8:bd:27:4c:ba:22,a8:bd:27:4c:ba:30,a8:bd:27:4c:ba:31,a8:bd:27:4c:ba:32,a8:bd:27:4c:c9:00,a8:bd:27:4c:c9:02,a8:bd:27:4c:c9:03,a8:bd:27:4c:c9:10,a8:bd:27:4c:c9:12,a8:bd:27:4c:c9:13,a8:bd:27:4c:d2:c0,a8:bd:27:4c:d2:c1,a8:bd:27:4c:d2:c2,a8:bd:27:4c:d2:d0,a8:bd:27:4c:d2:d1,a8:bd:27:4c:d2:d2,a8:bd:27:4d:19:20,a8:bd:27:4d:19:21,a8:bd:27:4d:19:22,a8:bd:27:4d:19:30,a8:bd:27:4d:19:31,a8:bd:27:4d:19:32,x,y,label
-82,-82,-82,-74,-74,-75,-69,-69,-69,-66,-67,-66,-60,-60,-60,-55,-56,-57,-77,-78,-77,-77,-78,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-92,-93,-91,-100,-90,-100,-100,-100,-100,-100,-100,-87,-87,-87,-100,-100,-100,-100,-89,-87,-100,-100,-100,-87,-87,-86,-82,-82,-82,-78,-76,-77,-78,-79,-79,-89,-90,-90,-88,-87,-89,542,225,2
-82,-82,-82,-74,-74,-74,-71,-71,-71,-67,-66,-66,-60,-60,-60,-56,-55,-55,-77,-78,-77,-78,-79,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-91,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-88,-87,-100,-100,-100,-100,-86,-86,-78,-79,-79,-78,-76,-77,-76,-75,-75,-90,-90,-90,-88,-88,-88,542,225,2
-78,-79,-79,-76,-74,-75,-72,-72,-72,-67,-66,-66,-60,-62,-59,-55,-55,-57,-77,-77,-77,-79,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-92,-90,-92,-91,-90,-100,-100,-100,-100,-100,-100,-88,-88,-88,-100,-100,-100,-89,-88,-88,-100,-100,-100,-86,-88,-88,-83,-83,-82,-77,-75,-76,-78,-78,-78,-89,-90,-89,-88,-88,-89,542,225,2
-81,-81,-81,-76,-75,-75,-71,-71,-71,-68,-68,-68,-60,-60,-60,-56,-56,-56,-77,-77,-77,-76,-75,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-92,-93,-91,-100,-90,-100,-100,-100,-100,-100,-100,-88,-88,-88,-100,-100,-100,-100,-88,-88,-100,-100,-100,-86,-86,-86,-82,-84,-82,-77,-77,-77,-79,-79,-79,-89,-90,-90,-88,-87,-89,542,225,2
-79,-80,-80,-73,-74,-73,-75,-73,-72,-76,-76,-75,-64,-64,-63,-55,-55,-54,-78,-78,-78,-79,-78,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-89,-91,-100,-100,-100,-89,-90,-89,-86,-85,-85,-79,-80,-79,-80,-79,-79,-90,-89,-91,-87,-88,-88,542,244,3
-81,-78,-78,-74,-74,-75,-74,-74,-74,-76,-75,-77,-64,-64,-64,-55,-55,-55,-80,-80,-80,-75,-75,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-90,-91,-85,-84,-86,-79,-79,-79,-81,-81,-82,-90,-89,-88,-87,-87,-89,542,244,3
-79,-79,-79,-73,-73,-73,-75,-75,-75,-72,-72,-72,-65,-65,-64,-55,-54,-55,-78,-78,-78,-79,-79,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-90,-90,-100,-100,-100,-91,-89,-91,-100,-100,-100,-88,-88,-88,-84,-85,-86,-80,-78,-78,-80,-80,-80,-90,-90,-90,-88,-87,-87,542,244,3
-79,-79,-79,-75,-75,-75,-75,-74,-74,-72,-72,-72,-64,-64,-63,-55,-54,-54,-79,-79,-77,-77,-78,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-89,-91,-100,-100,-100,-89,-90,-89,-86,-83,-83,-79,-80,-79,-82,-82,-81,-90,-90,-91,-87,-87,-87,542,244,3
-79,-80,-79,-72,-72,-72,-75,-73,-73,-71,-71,-70,-64,-64,-63,-53,-54,-52,-78,-79,-78,-78,-79,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-91,-89,-91,-100,-100,-100,-89,-89,-89,-84,-85,-85,-80,-79,-79,-80,-80,-80,-90,-91,-90,-87,-87,-87,542,244,3
-80,-80,-79,-73,-73,-73,-79,-75,-75,-71,-71,-72,-64,-64,-64,-54,-55,-54,-78,-79,-78,-77,-77,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-91,-90,-100,-100,-100,-91,-89,-91,-100,-100,-100,-88,-88,-86,-85,-86,-86,-80,-80,-79,-81,-80,-81,-91,-89,-89,-87,-87,-87,542,244,3
